candidate,partition,robust_score,repeat_1,repeat_2,repeat_3,sham_effect,injury_effect,survival_rate,clone,parametric_conservative,parametric_standard,parametric_exploratory,structural,mixed
R20 gen16,hard training,9.488765499554574e-05,9.488765499554574e-05,-0.00022659196110907942,0.00011836352496175095,0.007004402577877045,0.0001103915274143219,0.75,0.9969040247678018,0.0,0.0030959752321981426,0.0,0.0,0.0
R20 gen16,R18 development,-0.0040694731287658215,-0.0040694731287658215,-0.01449345238506794,-0.003983900882303715,0.0006463751196861267,-0.006873933598399162,1.0,0.9980506822612085,0.0,0.0,0.001949317738791423,0.0,0.0
fixed standard,R18 development,-0.05753933638334274,-0.05753933638334274,-0.0515146404504776,-0.07861444354057312,-0.020111825317144394,-0.01994219608604908,1.0,0.0,0.0,1.0,0.0,0.0,0.0
fixed conservative,R18 development,-0.08753631263971329,-0.08753631263971329,-0.09367779642343521,-0.07510621845722198,-0.044942378997802734,-0.08618178963661194,1.0,0.0,1.0,0.0,0.0,0.0,0.0
R15 gen18,R18 development,0.009245743975043297,0.0011058661621063948,0.02016245201230049,0.009245743975043297,0.0155559740960598,0.041902102530002594,1.0,0.9815712900096993,0.011639185257032008,0.004849660523763337,0.0019398642095053346,0.0,0.0
matched sparse,R18 development,-0.024063507094979286,-0.024063507094979286,-0.026398619636893272,-0.007038202602416277,-0.025338973850011826,-0.004810277372598648,1.0,0.9805735430157262,0.012025901942645698,0.004625346901017576,0.0027752081406105457,0.0,0.0
no-crisis ablation,R18 development,-0.019043466076254845,-0.019043466076254845,-0.02817373536527157,-0.008733447641134262,-0.023405995219945908,-0.0059247612953186035,1.0,0.9897959183673469,0.008348794063079777,0.0,0.0018552875695732839,0.0,0.0
R15 gen18,R18 sealed,-0.0009333317284472287,-0.0009333317284472287,-0.001146429916843772,-0.00030125255580060184,0.0084783174097538,-0.006053144112229347,0.5625,0.9533468559837728,0.032454361054766734,0.014198782961460446,0.0,0.0,0.0
R21 gen4,R21 training,0.005382193252444267,0.009664639830589294,0.005382193252444267,0.002813815139234066,0.007798161823302507,0.01668298989534378,0.96875,0.972972972972973,0.018243243243243244,0.008783783783783784,0.0,0.0,0.0
R21 gen4,R21 development,-0.0077119083143770695,-0.010516779497265816,-0.006196683272719383,-0.0077119083143770695,0.018829915672540665,-0.02251792699098587,1.0,0.9849624060150376,0.013784461152882205,0.0012531328320802004,0.0,0.0,0.0
